Target Distance: 1000, Step Size: 10
649 (x, y) = (-101.641, -6.19897)
650 (x, y) = (-111.314, -3.66074)
651 (x, y) = (-120.193, -8.25977)
652 (x, y) = (-110.617, -11.1385)
653 (x, y) = (-116.95, -3.3998)
654 (x, y) = (-113.525, 5.9955)
655 (x, y) = (-123.525, 5.9952)
656 (x, y) = (-123.127, -3.99687)
657 (x, y) = (-117.285, -12.1129)
658 (x, y) = (-118.125, -2.14824)
659 (x, y) = (-113.253, -10.8812)
660 (x, y) = (-110.332, -1.31736)
661 (x, y) = (-119.856, -4.36547)
662 (x, y) = (-124.337, 4.5745)
663 (x, y) = (-123.851, 14.5627)
664 (x, y) = (-116.549, 21.3953)
665 (x, y) = (-120.057, 12.0307)
666 (x, y) = (-129.751, 9.57785)
667 (x, y) = (-124.054, 1.35967)
668 (x, y) = (-114.614, 4.65958)
669 (x, y) = (-119.485, -4.07354)
670 (x, y) = (-111.292, -9.80711)
671 (x, y) = (-101.311, -10.426)
672 (x, y) = (-91.8147, -7.29373)
673 (x, y) = (-98.9324, -14.3178)
674 (x, y) = (-96.8676, -24.1023)
675 (x, y) = (-87.2416, -21.393)
676 (x, y) = (-93.3671, -29.2973)
677 (x, y) = (-85.6003, -35.5962)
678 (x, y) = (-94.6372, -39.878)
679 (x, y) = (-104.627, -40.3204)
680 (x, y) = (-105.379, -50.2922)
681 (x, y) = (-110.856, -41.9256)
682 (x, y) = (-117.12, -49.7203)
683 (x, y) = (-115.753, -39.8142)
684 (x, y) = (-108.214, -33.2443)
685 (x, y) = (-99.9208, -38.832)
686 (x, y) = (-96.1657, -29.5638)
687 (x, y) = (-92.8241, -38.9889)
688 (x, y) = (-102.618, -36.9677)
689 (x, y) = (-106.208, -27.6346)
690 (x, y) = (-102.29, -18.4344)
691 (x, y) = (-106.29, -27.5996)
692 (x, y) = (-98.4125, -33.76)
693 (x, y) = (-108.346, -34.9081)
694 (x, y) = (-104.922, -25.5128)
695 (x, y) = (-103.467, -15.6192)
696 (x, y) = (-102.363, -25.5581)
697 (x, y) = (-94.5407, -19.3279)
698 (x, y) = (-96.2576, -29.1794)
699 (x, y) = (-104.925, -24.1923)
700 (x, y) = (-96.4868, -29.558)
701 (x, y) = (-92.7317, -20.2899)
702 (x, y) = (-102.619, -18.7914)
703 (x, y) = (-93.6589, -23.2322)
704 (x, y) = (-83.9431, -20.8653)
705 (x, y) = (-93.918, -20.1581)
706 (x, y) = (-98.867, -11.4686)
707 (x, y) = (-95.5253, -20.8938)
708 (x, y) = (-98.1064, -30.5549)
709 (x, y) = (-93.3898, -39.3728)
710 (x, y) = (-84.7223, -34.3854)
711 (x, y) = (-92.8643, -28.5795)
712 (x, y) = (-102.855, -29.0219)
713 (x, y) = (-104.222, -19.1159)
714 (x, y) = (-109.625, -10.7014)
715 (x, y) = (-100.514, -6.5799)
716 (x, y) = (-107.379, -13.8515)
717 (x, y) = (-98.6675, -18.7618)
718 (x, y) = (-97.9158, -28.7335)
719 (x, y) = (-107.789, -30.3197)
720 (x, y) = (-113.985, -22.4701)
721 (x, y) = (-123.202, -26.3482)
722 (x, y) = (-115.78, -19.6459)
723 (x, y) = (-123.603, -13.416)
724 (x, y) = (-113.679, -12.18)
725 (x, y) = (-119.735, -4.2219)
726 (x, y) = (-109.791, -3.16172)
727 (x, y) = (-118.712, 1.35826)
728 (x, y) = (-119.375, 11.3362)
729 (x, y) = (-121.092, 1.48472)
730 (x, y) = (-130.239, -2.55593)
731 (x, y) = (-121.528, -7.46615)
732 (x, y) = (-123.765, -17.2126)
733 (x, y) = (-123.367, -27.2047)
734 (x, y) = (-114.149, -31.0825)
735 (x, y) = (-104.321, -29.2347)
736 (x, y) = (-111.562, -36.1317)
737 (x, y) = (-118.363, -28.7998)
738 (x, y) = (-128.338, -28.0926)
739 (x, y) = (-121.473, -35.364)
740 (x, y) = (-129.911, -40.73)
741 (x, y) = (-125.911, -49.8951)
742 (x, y) = (-115.977, -51.0429)
743 (x, y) = (-115.756, -61.0405)
744 (x, y) = (-115.093, -51.0625)
745 (x, y) = (-106.751, -45.5482)
746 (x, y) = (-105.296, -35.6546)
747 (x, y) = (-97.6417, -42.09)
748 (x, y) = (-105.784, -36.2841)
749 (x, y) = (-96.233, -33.3204)
750 (x, y) = (-103.944, -26.953)
751 (x, y) = (-103.9, -36.9529)
752 (x, y) = (-105.092, -27.0242)
753 (x, y) = (-101.173, -17.824)
754 (x, y) = (-100.069, -27.7628)
755 (x, y) = (-102.905, -37.3522)
756 (x, y) = (-112.88, -36.6449)
757 (x, y) = (-114.072, -26.7162)
758 (x, y) = (-123.39, -23.0845)
759 (x, y) = (-119.228, -32.1774)
760 (x, y) = (-110.934, -37.765)
761 (x, y) = (-101.047, -36.2662)
762 (x, y) = (-107.782, -43.6583)
763 (x, y) = (-112.024, -52.7142)
764 (x, y) = (-107.543, -43.7741)
765 (x, y) = (-117.354, -45.7088)
766 (x, y) = (-107.379, -45.0013)
767 (x, y) = (-97.3857, -44.6473)
768 (x, y) = (-95.5817, -34.8114)
769 (x, y) = (-85.5821, -34.8996)
770 (x, y) = (-81.3403, -43.9554)
771 (x, y) = (-90.7204, -40.4891)
772 (x, y) = (-81.5377, -36.5296)
773 (x, y) = (-78.9564, -46.1907)
774 (x, y) = (-86.8333, -52.3514)
775 (x, y) = (-96.786, -53.3235)
776 (x, y) = (-102.911, -61.2278)
777 (x, y) = (-98.1949, -70.0457)
778 (x, y) = (-97.9736, -80.0432)
779 (x, y) = (-105.091, -87.0673)
780 (x, y) = (-115.085, -86.7136)
781 (x, y) = (-107.783, -79.881)
782 (x, y) = (-97.8714, -81.2045)
783 (x, y) = (-87.9031, -82)
784 (x, y) = (-97.8369, -83.1481)
785 (x, y) = (-87.8385, -82.9711)
786 (x, y) = (-86.9104, -92.928)
787 (x, y) = (-79.3714, -86.3581)
788 (x, y) = (-85.356, -94.3696)
789 (x, y) = (-80.8755, -85.4295)
790 (x, y) = (-90.0228, -89.4702)
791 (x, y) = (-99.9837, -88.5865)
792 (x, y) = (-90.407, -91.4652)
793 (x, y) = (-86.3262, -82.3358)
794 (x, y) = (-95.7662, -79.0362)
795 (x, y) = (-86.0297, -81.3167)
796 (x, y) = (-92.1552, -89.221)
797 (x, y) = (-85.4201, -96.6128)
798 (x, y) = (-76.0401, -93.1463)
799 (x, y) = (-66.3905, -95.7701)
800 (x, y) = (-72.9934, -103.28)
801 (x, y) = (-71.4509, -113.16)
802 (x, y) = (-62.1338, -109.528)
803 (x, y) = (-60.8539, -119.446)
804 (x, y) = (-64.8537, -128.611)
805 (x, y) = (-71.6539, -121.28)
806 (x, y) = (-71.8749, -131.277)
807 (x, y) = (-81.6502, -133.385)
808 (x, y) = (-87.3474, -141.604)
809 (x, y) = (-91.3473, -150.769)
810 (x, y) = (-82.7694, -145.629)
811 (x, y) = (-91.844, -141.427)
812 (x, y) = (-85.4423, -149.11)
813 (x, y) = (-85.3099, -139.111)
814 (x, y) = (-83.6803, -129.244)
815 (x, y) = (-74.6816, -124.883)
816 (x, y) = (-68.1454, -117.314)
817 (x, y) = (-59.9021, -111.653)
818 (x, y) = (-54.7241, -120.208)
819 (x, y) = (-53.0069, -130.06)
820 (x, y) = (-46.6737, -122.321)
821 (x, y) = (-50.9955, -113.303)
822 (x, y) = (-42.1985, -118.058)
823 (x, y) = (-37.877, -109.04)
824 (x, y) = (-41.3019, -99.645)
825 (x, y) = (-50.1407, -94.9678)
826 (x, y) = (-40.4683, -92.4293)
827 (x, y) = (-40.778, -82.4341)
828 (x, y) = (-48.5447, -88.7332)
829 (x, y) = (-38.895, -91.357)
830 (x, y) = (-32.095, -84.0249)
831 (x, y) = (-40.4857, -89.4651)
832 (x, y) = (-30.7699, -87.0982)
833 (x, y) = (-40.7308, -86.2145)
834 (x, y) = (-31.7709, -90.6553)
835 (x, y) = (-39.4817, -84.2879)
836 (x, y) = (-29.4833, -84.1109)
837 (x, y) = (-23.859, -75.8425)
838 (x, y) = (-33.6153, -73.6482)
839 (x, y) = (-31.2917, -63.9219)
840 (x, y) = (-39.6824, -69.3621)
841 (x, y) = (-32.5645, -76.386)
842 (x, y) = (-33.2278, -66.408)
843 (x, y) = (-41.2126, -72.4283)
844 (x, y) = (-46.6159, -64.0137)
845 (x, y) = (-55.8333, -67.8918)
846 (x, y) = (-52.9967, -77.4811)
847 (x, y) = (-61.0868, -83.359)
848 (x, y) = (-51.1009, -82.8282)
849 (x, y) = (-52.9052, -72.9923)
850 (x, y) = (-52.2421, -63.0143)
851 (x, y) = (-59.1711, -55.8039)
852 (x, y) = (-65.774, -63.314)
853 (x, y) = (-67.8385, -73.0986)
854 (x, y) = (-77.8287, -73.541)
855 (x, y) = (-73.667, -82.6338)
856 (x, y) = (-77.0084, -92.0591)
857 (x, y) = (-68.9181, -97.9368)
858 (x, y) = (-78.4947, -100.816)
859 (x, y) = (-85.2295, -108.208)
860 (x, y) = (-94.0264, -112.963)
861 (x, y) = (-86.1493, -119.124)
862 (x, y) = (-79.8846, -126.918)
863 (x, y) = (-89.8455, -126.035)
864 (x, y) = (-99.0283, -122.075)
865 (x, y) = (-92.2283, -114.743)
866 (x, y) = (-82.4721, -112.549)
867 (x, y) = (-85.0531, -122.21)
868 (x, y) = (-78.1882, -129.481)
869 (x, y) = (-75.4363, -139.095)
870 (x, y) = (-66.3251, -134.974)
871 (x, y) = (-68.4764, -125.208)
872 (x, y) = (-77.1441, -120.221)
873 (x, y) = (-68.5209, -125.284)
874 (x, y) = (-59.5223, -120.923)
875 (x, y) = (-67.1191, -114.42)
876 (x, y) = (-68.223, -124.359)
877 (x, y) = (-68.7097, -114.371)
878 (x, y) = (-65.9577, -123.984)
879 (x, y) = (-55.9581, -124.073)
880 (x, y) = (-52.4501, -133.437)
881 (x, y) = (-60.2725, -127.207)
882 (x, y) = (-62.4238, -117.441)
883 (x, y) = (-54.6569, -123.74)
884 (x, y) = (-60.9214, -131.535)
885 (x, y) = (-62.7257, -121.699)
886 (x, y) = (-70.0876, -128.467)
887 (x, y) = (-76.9523, -135.738)
888 (x, y) = (-85.1451, -141.472)
889 (x, y) = (-75.8604, -145.186)
890 (x, y) = (-85.654, -143.165)
891 (x, y) = (-87.7186, -152.95)
892 (x, y) = (-94.12, -160.632)
893 (x, y) = (-101.997, -166.793)
894 (x, y) = (-106.556, -175.693)
895 (x, y) = (-112.181, -167.425)
896 (x, y) = (-111.783, -177.417)
897 (x, y) = (-107.223, -186.317)
898 (x, y) = (-115.416, -192.05)
899 (x, y) = (-110.778, -183.191)
900 (x, y) = (-111.088, -173.196)
901 (x, y) = (-115.006, -163.996)
902 (x, y) = (-110.526, -155.056)
903 (x, y) = (-116.721, -147.206)
904 (x, y) = (-107.801, -142.686)
905 (x, y) = (-99.2692, -147.901)
906 (x, y) = (-92.5341, -155.293)
907 (x, y) = (-82.5482, -154.762)
908 (x, y) = (-88.8817, -147.024)
909 (x, y) = (-95.6165, -154.416)
910 (x, y) = (-103.86, -148.755)
911 (x, y) = (-113.007, -152.795)
912 (x, y) = (-107.094, -144.731)
913 (x, y) = (-99.9759, -151.755)
914 (x, y) = (-93.7112, -159.55)
915 (x, y) = (-103.686, -158.842)
916 (x, y) = (-95.4931, -164.576)
917 (x, y) = (-91.738, -155.308)
918 (x, y) = (-81.8381, -156.719)
919 (x, y) = (-87.7517, -148.655)
920 (x, y) = (-93.3026, -156.973)
921 (x, y) = (-96.3929, -147.462)
922 (x, y) = (-93.8116, -157.123)
923 (x, y) = (-98.9136, -148.523)
924 (x, y) = (-89.5646, -152.072)
925 (x, y) = (-80.1542, -155.455)
926 (x, y) = (-78.3502, -145.619)
927 (x, y) = (-70.6396, -139.251)
928 (x, y) = (-72.7041, -149.036)
929 (x, y) = (-69.1137, -139.702)
930 (x, y) = (-68.6273, -129.714)
931 (x, y) = (-60.384, -124.053)
932 (x, y) = (-69.1386, -119.22)
933 (x, y) = (-75.4031, -127.015)
934 (x, y) = (-78.2394, -136.604)
935 (x, y) = (-72.8364, -128.19)
936 (x, y) = (-82.7098, -129.776)
937 (x, y) = (-92.5535, -131.537)
938 (x, y) = (-92.3323, -141.534)
939 (x, y) = (-101, -136.547)
940 (x, y) = (-98.0788, -126.983)
941 (x, y) = (-107.705, -124.274)
942 (x, y) = (-104.28, -114.879)
943 (x, y) = (-94.6785, -117.673)
944 (x, y) = (-103.558, -122.272)
945 (x, y) = (-95.5733, -128.292)
946 (x, y) = (-104.412, -123.615)
947 (x, y) = (-95.375, -127.896)
948 (x, y) = (-88.8388, -120.328)
949 (x, y) = (-89.7665, -130.285)
950 (x, y) = (-86.5923, -139.768)
951 (x, y) = (-96.2183, -137.059)
952 (x, y) = (-96.8817, -127.081)
953 (x, y) = (-97.1026, -137.078)
954 (x, y) = (-87.7855, -133.446)
955 (x, y) = (-90.9595, -142.929)
956 (x, y) = (-84.7643, -135.079)
957 (x, y) = (-92.8544, -140.957)
958 (x, y) = (-92.545, -130.962)
959 (x, y) = (-89.3707, -140.445)
960 (x, y) = (-97.8091, -145.811)
961 (x, y) = (-94.5513, -136.357)
962 (x, y) = (-85.0825, -139.573)
963 (x, y) = (-81.4093, -148.873)
964 (x, y) = (-71.7369, -146.335)
965 (x, y) = (-69.1555, -155.996)
966 (x, y) = (-69.5535, -165.988)
967 (x, y) = (-60.5548, -161.626)
968 (x, y) = (-57.297, -152.172)
969 (x, y) = (-64.5989, -145.34)
970 (x, y) = (-58.1297, -137.714)
971 (x, y) = (-48.1861, -136.654)
972 (x, y) = (-48.1418, -146.654)
973 (x, y) = (-39.5639, -141.514)
974 (x, y) = (-31.0317, -146.729)
975 (x, y) = (-22.3203, -151.639)
976 (x, y) = (-13.7881, -156.855)
977 (x, y) = (-10.6981, -147.344)
978 (x, y) = (-15.8002, -138.744)
979 (x, y) = (-23.397, -132.241)
980 (x, y) = (-31.051, -138.677)
981 (x, y) = (-40.0498, -134.315)
982 (x, y) = (-49.8251, -136.423)
983 (x, y) = (-58.2158, -141.863)
984 (x, y) = (-57.2877, -151.82)
985 (x, y) = (-67.2111, -150.585)
986 (x, y) = (-72.6884, -142.218)
987 (x, y) = (-80.9318, -136.557)
988 (x, y) = (-89.6432, -141.468)
989 (x, y) = (-99.2692, -138.759)
990 (x, y) = (-101.16, -148.578)
991 (x, y) = (-105.561, -157.558)
992 (x, y) = (-105.871, -147.562)
993 (x, y) = (-113.293, -140.86)
994 (x, y) = (-110.203, -131.35)
995 (x, y) = (-101.406, -136.105)
996 (x, y) = (-91.8042, -138.899)
997 (x, y) = (-92.9963, -128.97)
998 (x, y) = (-85.2857, -122.603)
999 (x, y) = (-88.3759, -113.092)
1000 (x, y) = (-95.3049, -105.882)
1001 (x, y) = (-90.0517, -97.3728)
1002 (x, y) = (-82.7499, -90.5402)
1003 (x, y) = (-92.7401, -90.9826)
1004 (x, y) = (-102.708, -91.7784)
1005 (x, y) = (-100.991, -101.63)
1006 (x, y) = (-91.1634, -99.7821)
1007 (x, y) = (-93.4873, -90.0558)
1008 (x, y) = (-84.3762, -85.9344)
1009 (x, y) = (-77.1965, -78.9736)
1010 (x, y) = (-81.0335, -88.2081)
1011 (x, y) = (-77.3603, -97.5091)
1012 (x, y) = (-81.1973, -106.744)
1013 (x, y) = (-90.3446, -110.784)
1014 (x, y) = (-83.8079, -118.352)
1015 (x, y) = (-76.3864, -111.65)
1016 (x, y) = (-67.5066, -116.249)
1017 (x, y) = (-73.908, -123.931)
1018 (x, y) = (-72.104, -114.095)
1019 (x, y) = (-66.8508, -105.586)
1020 (x, y) = (-62.2911, -114.486)
1021 (x, y) = (-68.4166, -122.391)
1022 (x, y) = (-58.4166, -122.391)
1023 (x, y) = (-66.2389, -116.161)
1024 (x, y) = (-65.4872, -126.132)
1025 (x, y) = (-73.9256, -131.498)
1026 (x, y) = (-69.2876, -122.639)
1027 (x, y) = (-72.7953, -132.004)
1028 (x, y) = (-63.7208, -127.802)
1029 (x, y) = (-69.9852, -135.597)
1030 (x, y) = (-60.3835, -138.391)
1031 (x, y) = (-56.5463, -147.625)
1032 (x, y) = (-47.3288, -151.503)
1033 (x, y) = (-38.7966, -156.718)
1034 (x, y) = (-29.003, -154.697)
1035 (x, y) = (-25.9131, -145.186)
1036 (x, y) = (-31.2414, -153.649)
1037 (x, y) = (-26.4473, -144.873)
1038 (x, y) = (-34.4852, -138.924)
1039 (x, y) = (-36.2021, -148.775)
1040 (x, y) = (-41.2275, -157.421)
1041 (x, y) = (-49.3176, -163.299)
1042 (x, y) = (-58.1145, -168.054)
1043 (x, y) = (-53.7131, -177.033)
1044 (x, y) = (-46.1741, -170.463)
1045 (x, y) = (-51.0457, -179.197)
1046 (x, y) = (-54.0513, -188.734)
1047 (x, y) = (-54.4492, -198.726)
1048 (x, y) = (-64.4394, -199.169)
1049 (x, y) = (-54.5805, -197.495)
1050 (x, y) = (-54.0054, -207.479)
1051 (x, y) = (-44.1055, -208.889)
1052 (x, y) = (-42.1276, -199.087)
1053 (x, y) = (-51.4122, -202.801)
1054 (x, y) = (-57.1823, -194.634)
1055 (x, y) = (-47.2952, -193.135)
1056 (x, y) = (-55.0619, -199.434)
1057 (x, y) = (-49.3644, -207.652)
1058 (x, y) = (-39.3706, -207.298)
1059 (x, y) = (-29.8199, -204.335)
1060 (x, y) = (-29.6874, -194.336)
1061 (x, y) = (-39.337, -196.96)
1062 (x, y) = (-30.8515, -191.669)
1063 (x, y) = (-39.3835, -196.884)
1064 (x, y) = (-29.8593, -199.932)
1065 (x, y) = (-31.7503, -209.752)
1066 (x, y) = (-39.7351, -215.772)
1067 (x, y) = (-48.0775, -210.258)
1068 (x, y) = (-42.38, -218.476)
1069 (x, y) = (-50.3113, -212.386)
1070 (x, y) = (-59.5628, -208.59)
1071 (x, y) = (-49.7693, -206.568)
1072 (x, y) = (-41.6275, -200.762)
1073 (x, y) = (-31.629, -200.585)
1074 (x, y) = (-33.2589, -190.719)
1075 (x, y) = (-27.0637, -182.869)
1076 (x, y) = (-20.1989, -190.14)
1077 (x, y) = (-12.6598, -183.571)
1078 (x, y) = (-22.5832, -182.335)
1079 (x, y) = (-15.5279, -175.248)
1080 (x, y) = (-15.4836, -185.248)
1081 (x, y) = (-14.3795, -195.187)
1082 (x, y) = (-8.18426, -187.337)
1083 (x, y) = (-17.9779, -185.316)
1084 (x, y) = (-17.4915, -175.328)
1085 (x, y) = (-7.94079, -172.364)
1086 (x, y) = (-17.9392, -172.187)
1087 (x, y) = (-13.6177, -163.169)
1088 (x, y) = (-5.47592, -157.363)
1089 (x, y) = (-9.79769, -148.345)
1090 (x, y) = (-3.3285, -140.72)
1091 (x, y) = (2.00008, -149.182)
1092 (x, y) = (7.02579, -157.827)
1093 (x, y) = (8.39316, -147.921)
1094 (x, y) = (5.38752, -157.459)
1095 (x, y) = (11.9242, -165.026)
1096 (x, y) = (17.9795, -157.068)
1097 (x, y) = (9.44742, -162.284)
1098 (x, y) = (1.00904, -167.65)
1099 (x, y) = (-7.18384, -173.384)
1100 (x, y) = (-17.1177, -174.532)
1101 (x, y) = (-7.32416, -172.51)
1102 (x, y) = (1.63568, -176.951)
1103 (x, y) = (8.69098, -169.864)
1104 (x, y) = (9.00043, -159.869)
1105 (x, y) = (15.7355, -167.261)
1106 (x, y) = (11.0972, -158.402)
1107 (x, y) = (20.8534, -156.207)
1108 (x, y) = (18.2724, -165.868)
1109 (x, y) = (18.2285, -175.868)
1110 (x, y) = (22.8665, -167.009)
1111 (x, y) = (32.5389, -164.47)
1112 (x, y) = (22.605, -165.618)
1113 (x, y) = (29.8462, -172.515)
1114 (x, y) = (23.3098, -180.083)
1115 (x, y) = (20.4735, -189.673)
1116 (x, y) = (17.9778, -179.989)
1117 (x, y) = (13.2615, -188.807)
1118 (x, y) = (10.5948, -179.169)
1119 (x, y) = (9.22712, -169.263)
1120 (x, y) = (16.5289, -162.431)
1121 (x, y) = (9.28788, -169.327)
1122 (x, y) = (18.4706, -165.368)
1123 (x, y) = (28.4455, -164.66)
1124 (x, y) = (38.2018, -162.466)
1125 (x, y) = (46.6403, -167.832)
1126 (x, y) = (40.2389, -175.514)
1127 (x, y) = (47.6604, -168.812)
1128 (x, y) = (57.1846, -171.86)
1129 (x, y) = (47.1846, -171.86)
1130 (x, y) = (54.1771, -179.009)
1131 (x, y) = (45.3383, -174.332)
1132 (x, y) = (44.7636, -184.315)
1133 (x, y) = (51.5636, -176.983)
1134 (x, y) = (59.2178, -183.418)
1135 (x, y) = (67.149, -177.328)
1136 (x, y) = (63.0679, -168.198)
1137 (x, y) = (71.6911, -173.262)
1138 (x, y) = (65.6355, -165.304)
1139 (x, y) = (75.0754, -162.004)
1140 (x, y) = (68.4724, -169.514)
1141 (x, y) = (71.6467, -178.997)
1142 (x, y) = (80.7212, -174.795)
1143 (x, y) = (71.4697, -170.999)
1144 (x, y) = (62.8917, -165.859)
1145 (x, y) = (63.2011, -155.864)
1146 (x, y) = (53.4852, -153.498)
1147 (x, y) = (58.4339, -144.808)
1148 (x, y) = (56.0243, -154.513)
1149 (x, y) = (58.0022, -144.711)
1150 (x, y) = (65.8793, -150.871)
1151 (x, y) = (71.2823, -142.456)
1152 (x, y) = (81.2163, -143.604)
1153 (x, y) = (86.242, -152.25)
1154 (x, y) = (94.9095, -147.262)
1155 (x, y) = (84.9658, -146.202)
1156 (x, y) = (94.1485, -142.243)
1157 (x, y) = (86.0065, -136.437)
1158 (x, y) = (95.9298, -135.201)
1159 (x, y) = (98.5112, -144.862)
1160 (x, y) = (101.853, -154.287)
1161 (x, y) = (107.623, -146.12)
1162 (x, y) = (116.013, -151.56)
1163 (x, y) = (119.355, -160.985)
1164 (x, y) = (125.269, -152.921)
1165 (x, y) = (128.61, -162.346)
1166 (x, y) = (119.651, -166.787)
1167 (x, y) = (111.666, -172.807)
1168 (x, y) = (115.503, -182.042)
1169 (x, y) = (111.995, -191.406)
1170 (x, y) = (115.586, -182.073)
1171 (x, y) = (105.642, -181.013)
1172 (x, y) = (115.268, -178.304)
1173 (x, y) = (111.513, -169.036)
1174 (x, y) = (101.514, -168.859)
1175 (x, y) = (93.8034, -162.492)
1176 (x, y) = (84.0282, -164.6)
1177 (x, y) = (74.3122, -162.233)
1178 (x, y) = (69.5179, -153.457)
1179 (x, y) = (77.2285, -147.09)
1180 (x, y) = (85.8063, -141.95)
1181 (x, y) = (95.5817, -144.057)
1182 (x, y) = (85.7083, -145.644)
1183 (x, y) = (75.7646, -144.584)
1184 (x, y) = (66.0487, -142.217)
1185 (x, y) = (57.169, -146.816)
1186 (x, y) = (62.646, -138.449)
1187 (x, y) = (61.6299, -128.501)
1188 (x, y) = (71.2559, -125.792)
1189 (x, y) = (67.6651, -116.459)
1190 (x, y) = (66.2975, -106.553)
1191 (x, y) = (70.2976, -115.718)
1192 (x, y) = (79.8483, -112.754)
1193 (x, y) = (84.3288, -103.814)
1194 (x, y) = (81.4925, -113.403)
1195 (x, y) = (79.0829, -123.109)
1196 (x, y) = (88.9267, -124.869)
1197 (x, y) = (98.5527, -122.16)
1198 (x, y) = (107.59, -126.441)
1199 (x, y) = (117.434, -128.202)
1200 (x, y) = (108.811, -133.266)
1201 (x, y) = (110.265, -123.372)
1202 (x, y) = (103.596, -115.921)
1203 (x, y) = (104.082, -105.933)
1204 (x, y) = (112.837, -101.1)
1205 (x, y) = (118.606, -92.9321)
1206 (x, y) = (127.986, -89.4656)
1207 (x, y) = (132.228, -98.5214)
1208 (x, y) = (141.965, -100.802)
1209 (x, y) = (132.137, -98.9544)
1210 (x, y) = (134.803, -89.3164)
1211 (x, y) = (124.842, -88.4328)
1212 (x, y) = (133.802, -92.8736)
1213 (x, y) = (132.874, -102.83)
1214 (x, y) = (141.36, -97.5394)
1215 (x, y) = (151.188, -95.6916)
1216 (x, y) = (160.568, -92.2251)
1217 (x, y) = (159.728, -82.2604)
1218 (x, y) = (169.077, -85.8095)
1219 (x, y) = (162.277, -78.4776)
1220 (x, y) = (152.433, -80.2384)
1221 (x, y) = (152.477, -90.2383)
1222 (x, y) = (156.878, -99.2176)
1223 (x, y) = (146.885, -98.8639)
1224 (x, y) = (154.975, -104.742)
1225 (x, y) = (145.052, -103.506)
1226 (x, y) = (154.986, -104.654)
1227 (x, y) = (145.987, -100.292)
1228 (x, y) = (137.794, -106.026)
1229 (x, y) = (129.55, -100.365)
1230 (x, y) = (139.494, -99.3051)
1231 (x, y) = (134.316, -107.86)
1232 (x, y) = (141.913, -101.357)
1233 (x, y) = (151.847, -102.505)
1234 (x, y) = (155.928, -93.3756)
1235 (x, y) = (150.525, -101.79)
1236 (x, y) = (159.445, -97.2702)
1237 (x, y) = (161.51, -107.055)
1238 (x, y) = (170.657, -111.095)
1239 (x, y) = (179.656, -106.733)
1240 (x, y) = (188.576, -102.213)
1241 (x, y) = (193.37, -93.4373)
1242 (x, y) = (193.414, -103.437)
1243 (x, y) = (199.884, -95.8116)
1244 (x, y) = (205.361, -87.4449)
1245 (x, y) = (210.539, -96)
1246 (x, y) = (203.738, -88.668)
1247 (x, y) = (211.04, -81.8354)
1248 (x, y) = (208.288, -91.4494)
1249 (x, y) = (214.825, -99.0172)
1250 (x, y) = (222.967, -93.2111)
1251 (x, y) = (218.486, -84.2712)
1252 (x, y) = (227.198, -89.1814)
1253 (x, y) = (232.451, -80.6723)
1254 (x, y) = (242.445, -80.3184)
1255 (x, y) = (251.068, -85.382)
1256 (x, y) = (260.968, -86.7929)
1257 (x, y) = (270.115, -90.8333)
1258 (x, y) = (261.492, -95.8972)
1259 (x, y) = (253.507, -101.917)
1260 (x, y) = (252.58, -111.874)
1261 (x, y) = (243.468, -107.753)
1262 (x, y) = (253.462, -107.399)
1263 (x, y) = (262.461, -103.037)
1264 (x, y) = (254.168, -108.625)
1265 (x, y) = (261.53, -115.393)
1266 (x, y) = (270.604, -111.191)
1267 (x, y) = (263.424, -104.231)
1268 (x, y) = (271.718, -109.818)
1269 (x, y) = (278.387, -102.367)
1270 (x, y) = (282.224, -111.601)
1271 (x, y) = (285.061, -121.191)
1272 (x, y) = (291.796, -128.582)
1273 (x, y) = (289.731, -138.367)
1274 (x, y) = (298.486, -133.534)
1275 (x, y) = (288.574, -134.858)
1276 (x, y) = (288.618, -144.858)
1277 (x, y) = (279.738, -149.457)
1278 (x, y) = (280.49, -159.428)
1279 (x, y) = (270.993, -156.296)
1280 (x, y) = (269.538, -146.403)
1281 (x, y) = (259.548, -146.845)
1282 (x, y) = (251.951, -140.342)
1283 (x, y) = (247.629, -131.324)
1284 (x, y) = (251.871, -140.38)
1285 (x, y) = (253.849, -130.578)
1286 (x, y) = (259.762, -122.514)
1287 (x, y) = (268.722, -126.954)
1288 (x, y) = (278.634, -128.278)
1289 (x, y) = (282.876, -137.334)
1290 (x, y) = (278.634, -146.39)
1291 (x, y) = (274.716, -137.189)
1292 (x, y) = (275.731, -127.241)
1293 (x, y) = (281.716, -135.253)
1294 (x, y) = (271.888, -133.405)
1295 (x, y) = (276.682, -124.629)
1296 (x, y) = (286.643, -123.745)
1297 (x, y) = (292.769, -131.649)
1298 (x, y) = (302.266, -128.517)
1299 (x, y) = (294.612, -134.953)
1300 (x, y) = (284.613, -134.776)
1301 (x, y) = (283.774, -124.811)
1302 (x, y) = (288.722, -116.122)
1303 (x, y) = (296.544, -109.891)
1304 (x, y) = (301.182, -101.032)
1305 (x, y) = (306.659, -92.6653)
